Index,Balance,Price,Q,Name,UID,Bounty,Q_Max,Time
610,1030.0,100.0,99,+20% ALL! TIX + 120%,71074,120,4,2017-01-22 18:12:33.364000
611,1030.0,100.0,99,+20% ALL! TIX + 120%,71074,120,4,2017-01-22 18:12:33.364000
616,65848.0,100.0,50,LUNARCH(+35% TIX),87189,35,487,2017-01-22 18:12:33.364000
619,5307.0,100.0,99,50% BONUS TO ALL,174274,50,35,2017-01-22 18:12:33.364000
623,18515.0,100.0,99,PETER TWIEG +30% ALL,6918,30,142,2017-01-22 18:12:33.364000
627,55507.0,100.0,99,+40% CREDIT ON BOT,28988,40,396,2017-01-22 18:12:33.364000
637,14630.0,100.0,99,MCQUACKS+50% ON ALL,18500,50,97,2017-01-22 18:12:33.364000
638,3111.0,100.0,14,100% BONUS TIX MTGO,42227,100,15,2017-01-22 18:12:33.364000
639,13730.0,100.0,99,+30%GAMRAJ,101416,30,105,2017-01-22 18:12:33.364000
644,799459.0,100.0,99,KOALAPANDA + 15% ALL,30020,15,6951,2017-01-22 18:12:33.364000
648,5160.0,100.0,46,NISUS (30% BONUS),36578,30,39,2017-01-22 18:12:33.364000
658,8357.0,100.0,20,DECIPIO - 15% BONUS,134314,15,72,2017-01-22 18:12:33.364000
661,1068.0,100.0,20,10% ALL!,102596,10,9,2017-01-22 18:12:33.364000
662,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
663,20419.0,100.0,99,NULL00 +50%,19610,50,136,2017-01-22 18:12:33.364000
669,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
678,45048.0,100.0,1,WKDWRLOCK 30% BNTY,5620,30,346,2017-01-22 18:12:33.364000
680,8130.0,100.0,30,CLAKIN50%MTGO100%TIX,105056,100,40,2017-01-22 18:12:33.364000
683,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
693,11188.0,100.0,25,SCOTT7 15%BONUS!,160117,15,97,2017-01-22 18:12:33.364000
698,15851.0,100.0,99,SCABER 15%BONUS,51179,15,137,2017-01-22 18:12:33.364000
707,32356.0,100.0,99,25% BONUS OVER 500,6561,25,258,2017-01-22 18:12:33.364000
708,23325.0,100.0,99,"+50% CARDS, 30% MTGO",146333,50,155,2017-01-22 18:12:33.364000
709,30254.0,100.0,50,ICE 20%BONUS ON ALL!,96868,20,252,2017-01-22 18:12:33.364000
712,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
714,3366.0,100.0,99,(30%) CREWMANWILSON,6,30,25,2017-01-22 18:12:33.364000
715,65848.0,100.0,50,LUNARCH(+35% TIX),87189,35,487,2017-01-22 18:12:33.364000
719,10286.0,100.0,99,50% BONUS ON ALL!!1,9757,50,68,2017-01-22 18:12:33.364000
723,39605.0,100.0,49,MTGO 30% BONUS!!!,51970,30,304,2017-01-22 18:12:33.364000
724,4149.0,100.0,99,PIKACHU +20%ALL,130834,20,34,2017-01-22 18:12:33.364000
727,5218.0,100.0,30,MANCIOR 25% BONUS,39884,25,41,2017-01-22 18:12:33.364000
728,9152.0,100.0,25,15%ALLCARDREQUESTED,79044,15,79,2017-01-22 18:12:33.364000
735,6765.0,100.0,99,25% BONUS ON ALL,53026,25,54,2017-01-22 18:12:33.364000
738,24021.0,100.0,15,MAX+80% TIX+15% WANT,143298,80,133,2017-01-22 18:12:33.364000
739,345410.0,100.0,99,KING AUTHUR 15%ALL,146555,15,3003,2017-01-22 18:12:33.364000
743,45048.0,100.0,1,WKDWRLOCK 30% BNTY,5620,30,346,2017-01-22 18:12:33.364000
744,45048.0,100.0,1,WKDWRLOCK 30% BNTY,5620,30,346,2017-01-22 18:12:33.364000
751,33415.0,100.0,99,+50% ON MTGO TIX,126309,50,222,2017-01-22 18:12:33.364000
752,23981.0,100.0,20,BENOLITAS +15%,64704,15,208,2017-01-22 18:12:33.364000
754,9076.0,100.0,99,UP TO 40% ON WANTS,43368,40,64,2017-01-22 18:12:33.364000
757,3242.0,100.0,99,DANNYSIMS (10-20%),34388,20,27,2017-01-22 18:12:33.364000
768,5160.0,100.0,99,NISUS (30% BONUS),36578,30,39,2017-01-22 18:12:33.364000
769,32805.0,100.0,99,10% BONUS MTGO CARDS,32523,10,298,2017-01-22 18:12:33.364000
770,9853.0,100.0,99,20% BONUS TIX MTGO,27929,20,82,2017-01-22 18:12:33.364000
771,9853.0,100.0,99,20% BONUS TIX MTGO,27929,20,82,2017-01-22 18:12:33.364000
773,76765.0,100.0,99,25% MTGO BONUS,33477,25,614,2017-01-22 18:12:33.364000
782,6630.0,100.0,30,KBOY (30%BONUS),35030,30,51,2017-01-22 18:12:33.364000
788,22474.0,100.0,99,TRONACUS- 20% BONUS,114253,20,187,2017-01-22 18:12:33.364000
794,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
797,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
798,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
799,6582.0,100.0,99,+50% ALL! TIX + 150%,9169,150,26,2017-01-22 18:12:33.364000
805,10313.0,100.0,99,DB 30%MTGO/ 20%PAPER,90379,30,79,2017-01-22 18:12:33.364000
807,65848.0,100.0,50,LUNARCH(+35% TIX),87189,35,487,2017-01-22 18:12:33.364000
808,65848.0,100.0,50,LUNARCH(+35% TIX),87189,35,487,2017-01-22 18:12:33.364000
